"","user_id","age","gender","education","occupation","chatbotuse","chatbottrust","chatbotlimitations","chatbotperception","topic","stance_before","snippet_id","explanation_before","stance_after","explanation_after","warning","helpful","nothelpful","stance_fs","page_visits","stance_difference","time","stance_before_category","stance_after_category","stance_category_changed","fs_bias","pages_visited","use_category","trust_category","limitations_category","perception_category","agreement"
"1","65584020487cba100c80ef22",23,"male","high school","Student",7,1,5,4,"obesity",1,6,"- it's unhealthy, therefore a disease- but maybe it's more of a symptom than a disease",-1,"0",1,1,0,0,0,2,220.539999961853,1,-1,1,1,0,1,-1,1,0,0
"2","65589725ee82f102021b3ec0",21,"male","high school","Student",3,2,7,3,"obesity",1,6,"I think obesity is in that way a disease that people do not have enough willpower to eat healthier or be more active, and therefore risk their health.",0,"It is certainly hard to classify. I agree that it also depends on multiple factors like lifestyle, but there are also medical factors like how fast your metabolism is. Maybe it is more a disorder and less a disease.",1,0,0,0,2,1,513.694999933243,1,0,1,1,1,0,-1,1,-1,0
"3","6558a6666689f1a401bce488",26,"female","bachelor","Student",5,5,7,2,"propertyRights",1,2,"Sure they should be, but not to every extent. For example publicly funded research or material that is based on some open source material sshould maybe not be as protected.",0,"I still stand by my opionion, but changed the answer to truly neutral. I think it very much depends on the situation.",1,0,0,0,0,1,281.09700012207,1,0,1,1,0,0,1,1,-1,0
"4","6558b0f43b4b68ca704d8b77",25,"male","high school","Student",6,6,6,4,"obesity",2,6,"Here are my arguments: Health risks: Obesity increases the risk of a variety of health problems, including cardiovascular disease, type 2 diabetes, certain cancers and orthopedic problems.Biological Complexity: Obesity is influenced not only by individual choices, but also by complex biological factors, genetic predispositions and environmental conditions, which make it difficult to attribute it to personal failure alone.Need for Interventions: The recognition of obesity as Illness facilitates access to medical care, therapy and preventative measures to improve individual health and reduce the burden on the healthcare system.",1,"0",0,0,0,0,0,1,445.200999975204,1,1,0,1,0,1,1,1,0,0
"5","6558b8d9cae6ee1507a08781",21,"female","high school","student",4,2,5,2,"propertyRights",0,2,"0",1,"I agree slightly- as intellectual property rights protect individuals and businesses creative ideas and allows them to realise these ideas. However, there are some arguments against these rights, for example some sources say they ""stifle creativity"".",1,0,1,0,4,1,595.02999997139,0,1,1,-1,1,0,-1,1,-1,0
"6","6558ba06605206699c96bfd6",19,"female","high school","student",6,4,7,1,"propertyRights",2,1,"In my opinion, intellectual property rights should exist to secure the safety of product idea of artist, medics, etc. The safety of ideas is highly motivating for many people and can lead to many innovative ideas.",2,"I still believe that intellectual property rights are very important because they are a key factor in securing data and spirit of innovative people. During the Covid19 pandemic, many countries raised the negative effects of property rights since it made it harder for medics to produce the vaccination and fight against the pandemic. On the other hand the founder of the vaccination was able to secure his idea.",0,0,0,1,0,0,1396.71700000763,1,1,0,0,0,1,0,1,-1,1
"7","6558ba54cae6ee1507a08788",24,"female","bachelor","Student",4,5,7,5,"propertyRights",3,1,"Intellectual property rights should exist as it is important as physical property rights. Intellectual property can consist of valuable ideas of a person which people should have rights to. Intellectual property can be stolen as any other and thats why it is important to have rights to protect it.",2,"I believe that intellectual property rights should exist as ideas are one of the most valuable contributions for businesses and society itself. I think there should be patents on the ideas to protect individuals who came up with those ideas as they can be profitable or they can create a respect in the society.",1,0,0,1,0,1,908.235000133514,1,1,0,-1,0,0,1,1,1,1
"8","6558bba4cae6ee1507a0878f",28,"female","master","Student",7,3,7,1,"propertyRights",3,1,"Yes, if intellectual property does not exist then there would not be any incentive for the creation or invention of new products or services. One of the most important examples is the patents in the medical field, if there is no economic incentive, then companies won't invest in R&D for developing new treatments or vaccines. Overall should exist as it encourages innovation.",3,"All the reasons where mentioned before.",0,0,0,1,0,0,558.516000032425,1,1,0,0,0,1,-1,1,-1,1
"9","6558bca8cae6ee1507a08799",22,"female","high school","University undergraduate",4,1,6,3,"schoolUniforms",0,4,"Even though having a mandatory uniform is a good way of (1) making students focus more on studies(2) enabling students with lower incomes to not have to worry about what to wear (e.g. popular expensive brands)It also does not allow students to express themselves through fashion (choosing your own clothes to wear can be an effective way of expressing your personality and even moods).Moreover, it prevents students from learning not to judge other students for their clothes.",1,"mental health improvement because of school uniforms",1,0,0,0,3,1,739.075999975204,0,1,1,-1,1,0,-1,1,-1,0
"10","6558bd11605206699c96bfe1",20,"female","high school","Student",5,3,6,4,"schoolUniforms",-1,3,"I think children in schools should be allowed to exercise their own freedom of expression and not have to conform at such a young age",-2,"I think it was interesting to read about how children's mental health is not improved through school uniforms and often the reasons in favour of it like equality and improved concentration are not actually effective",1,0,0,1,4,1,585.013000011444,-1,-1,0,-1,1,0,-1,1,0,0
